company,idea,industry,subindustry,tags
Varos,AI Business Analysts to gather requirements and optimize processes,B2B,B2B -> Analytics,SaaS|B2B|Analytics
Vassar Robotics,Open-source semi-humanoid dev kit → home data → autonomy → 20h/wk,Consumer,Consumer -> Consumer Electronics,
Vathys,Accelerating machine learning through software,Industrials,Industrials -> Manufacturing and Robotics,Artificial Intelligence|Deep Learning|Machine Learning
VaultPay,Digital banking platform for the 30 million smartphone users in DRC.,Fintech,Fintech,Fintech|Payments|B2B|Neobank
Vaya,Discover your next vacation for less.,Consumer,"Consumer -> Travel, Leisure and Tourism",Consumer|Travel
Vecindario,We make it easier for real estate to sell properties and mortgages.,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Fintech|SaaS|Proptech
Vector,Advertising for the new internet,B2B,B2B -> Marketing,Generative AI|SaaS|B2B|Marketing|Enterprise
Vector Legal,A premier AI-native law firm & legal operating system for Startups.,B2B,B2B -> Legal,
Vectordash,Play high-end PC games on your laptop by streaming them.,Consumer,Consumer -> Gaming,Gaming
VectorShift,AI Operating System for Private Market Investors,B2B,B2B -> Finance and Accounting,Artificial Intelligence|Generative AI|Finance
Vectrix,Scan your SaaS apps and instantly identify security issues,B2B,B2B -> Security,SaaS|Security
VedaBio,CRISPR powered Diagnostics with results in minutes.,Healthcare,Healthcare -> Diagnostics,Hard Tech
Veera Health,We treat women with Polycystic Ovary Syndrome in India,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services|Femtech
Veeza AI,"AI travel agent for people with weak passports, starting with visas.",Consumer,"Consumer -> Travel, Leisure and Tourism",AIOps|Consumer|AI
Vela,AI Recruiting Coordinator for Executive Search,B2B,B2B,
Veles,CPQ for humans and agents,B2B,B2B -> Sales,Artificial Intelligence|B2B|Sales|Enterprise
Velontra,Hypersonic space plane that can take-off from any location and weather,Industrials,Industrials -> Aviation and Space,Commercial Space Launch|Hardware|Drones|Aerospace
Velorum Therapeutics,Breakthrough medicines unlocking the biology of heme,Healthcare,Healthcare -> Therapeutics,Biotech|Healthcare|Therapeutics|Drug discovery|Oncology
Velos,Platform to automate manual back-office work,B2B,B2B -> Operations,Artificial Intelligence|Generative AI|Reinforcement Learning|Robotic Process Automation|Automation
Velt,SDK for adding an agent and human governance layer to your product,B2B,B2B -> Productivity,Developer Tools|SaaS|Collaboration|Compliance|AI
Veltha,AI native TPA starting with workers comp,Fintech,Fintech -> Insurance,Fintech|Insurance
Velum Labs,The OS for data quality across any stack,B2B,B2B,Machine Learning|Data Engineering
Velvet,Infra and data for interactive AI.,B2B,B2B,Generative AI|Data Engineering|AI|Conversational AI
Vena Vitals,A small sticker that monitors blood pressure continuously,Healthcare,Healthcare -> Medical Devices,Hard Tech|Nanosensors|Health Tech|Medical Devices|Digital Health
Vendease,Where restaurants in Africa buy food supplies,B2B,B2B -> Supply Chain and Logistics,Supply Chain|Food & Beverage
Vendo,Let your users build their own features on top of your product,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|B2B|Customer Success|Open Source
Vendoo,We help online sellers manage a sales business on multiple platforms.,Consumer,Consumer,SaaS|E-commerce
Vendora,All-in-One Software for the $1T Grocery Industry,B2B,B2B -> Retail,Artificial Intelligence|Grocery|Payments|B2B|Retail
Vendr,The AI negotiation agent to help you save money on SaaS.,B2B,B2B -> Operations,SaaS|Finance|Procurement
Vendra,"Custom Parts, Manufactured in America 🇺🇸",Industrials,Industrials -> Manufacturing and Robotics,Hardware|Manufacturing|Supply Chain|Aerospace|Defense
Vendy,Vendy is a marketplace on WhatsApp,Fintech,Fintech -> Payments,Payments|B2B|E-commerce
VenoStent,Absorbable wrap for blood vessels,Healthcare,Healthcare -> Medical Devices,Medical Devices|3D Printing
Venta AI,The compliant AI colleague for sales teams in Europe,B2B,B2B -> Sales,Artificial Intelligence|Sales
Ventura,AI Workforce for Distributors and Manufacturers,Industrials,Industrials,
Venu AI,Meet qualified leads in person by automating conference production,B2B,B2B,Artificial Intelligence|B2B|Community|Sales|Marketing
Venue.ink,Software for tattoo artists and studios,Fintech,Fintech -> Payments,Fintech|SaaS|Creator Economy
Venuetastic,Venue marketplace.,B2B,B2B -> Office Management,Marketplace
Vera Health,AI-powered clinical decision support for healthcare providers,Healthcare,Healthcare -> Healthcare Services,Artificial Intelligence|Digital Health|Healthcare
Verak,Better Business Insurance for MSMEs in India,Fintech,Fintech -> Insurance,Insurance
Verano Health,Nonprofit telehealth coaches for underserved Americans on Medicaid,Healthcare,Healthcare,Mental Health Tech|Consumer Health Services|Healthcare IT
Verata,Network Intelligence for Investors,B2B,B2B,Fintech|Generative AI|SaaS|HR Tech
Verbiflow,Outbound Sequencing Infrastructure for Startups,B2B,B2B,SaaS|Analytics|Sales|Sales Enablement|AI
Verbling,Language learning through video chat.,Education,Education,Education
Verdant,AI-native planning & permitting software for local gov,Other,Government,GovTech
Verde,Digital lending platform for Brazilian farmers,Fintech,Fintech -> Credit and Lending,Fintech|SaaS|B2B
Verdex,AI Verification for Insurance,Fintech,Fintech -> Insurance,
Verdict Machine,AI cybersecurity for financial institutions' digital assets,B2B,B2B -> Security,Crypto / Web3|Security|AI
Verge Genomics,We use human data and AI to develop better drugs faster.,Healthcare,Healthcare -> Drug Discovery and Delivery,
VergeSense,AI-Powered Building Management,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Artificial Intelligence|Proptech
Veria Labs,Continuous AI pentesting that finds and fixes vulnerabilities,B2B,B2B -> Security,Security|Cybersecurity|AI
Veriad,Enterprise marketing agents,B2B,B2B,Artificial Intelligence|B2B|Marketing|Advertising
Veriff,AI-powered identity verification solution for fraud prevention.,B2B,"B2B -> Engineering, Product and Design",Fintech|SaaS
Verifiable,API for healthcare compliance,Healthcare,Healthcare -> Healthcare IT,Compliance|Healthcare|API
Verihubs,AI-powered Deepfake Detection,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|SaaS|B2B
Veritus,AI agents for the consumer lending industry,Fintech,Fintech -> Credit and Lending,Fintech|Lending|AI
Verne Robotics,AI models that teach robots new skills in hours,Industrials,Industrials -> Manufacturing and Robotics,
"Vernius Systems, Inc.",Autonomous radar guidance for interceptors,Industrials,Industrials -> Defense,Hard Tech|Drones|Radar|Aerospace|Defense
Versa,Smart receipts for your business spend,B2B,B2B -> Finance and Accounting,Fintech
Versable,AI powered product description enhancement for the auto parts industry,B2B,B2B -> Retail,Manufacturing|Data Engineering|AI|Automotive
Verse Medical,Software platform for in-home healthcare,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services|Medical Devices
Verse Therapy,Connecting All Ages with Speech Language Pathologists,Healthcare,Healthcare -> Healthcare IT,Consumer Health Services|Digital Health
Version Story Compare,Git for Lawyers - now within Claude,B2B,B2B -> Legal,SaaS|B2B|Legal|LegalTech|AI
Versive,AI-first user research platform,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|SaaS|B2B|Design Tools|Market Research
Versori,Agentic integrations & automations for enterprise,B2B,B2B -> Infrastructure,SaaS|B2B|API|No-code|Data Engineering
Verto,Cross-Border Payments and FX Simplified,Fintech,Fintech -> Payments,Banking as a Service|Fintech|Payments|B2B|API
"Veryfi, Inc.",Document AI. One API Call.,B2B,B2B,Artificial Intelligence|Computer Vision|Finance|API|AI
Vesence,Cursor for Lawyers. Agentic AI in MS Office.,B2B,B2B -> Legal,
Vespper,The best DOCX MCP for agents to edit microsoft word documents,B2B,B2B -> Productivity,Documents|Artificial Intelligence|Developer Tools|B2B|API
Vessel,"Developer-first, native integration platform for GTM tools",B2B,"B2B -> Engineering, Product and Design",Sales|API|Marketing|Customer Support|CRM
Vest,Bringing wider access to financial derivatives.,Fintech,Fintech -> Asset Management,Fintech|Investing
Vestris,AI native platform for real estate closings,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Workflow Automation|Home Services
Vetcove,Powering the animal health supply chain.,B2B,B2B -> Supply Chain and Logistics,Marketplace|B2B|Healthcare|E-commerce|Enterprise Software
Vetnio,AI Copilot that automates admin work for veterinary professionals,B2B,B2B -> Productivity,Artificial Intelligence|SaaS|B2B|AI
VetPronto,On demand veterinary house calls.,Healthcare,Healthcare -> Consumer Health and Wellness,Healthcare
VetRec,AI Scribe for veterinarians. Saving time and improving patient care.,B2B,B2B,Artificial Intelligence|Generative AI|Health Tech
Viaopt,Uber pool for corporate trucking fleets,B2B,B2B -> Supply Chain and Logistics,Autonomous Trucking|Logistics
Vibe,Making everyone a software engineer,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|B2B|Web Development|AI
Vibe Kanban,Plan and review AI generated code,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Machine Learning|Open Source
VibeFlow,AI content manager that grows your company's online presence,B2B,B2B,Artificial Intelligence|Developer Tools|Consumer|B2B
Vibrant Labs,Autonomously scaling environments,B2B,B2B -> Infrastructure,Developer Tools|Generative AI|Reinforcement Learning|Open Source|AI
VIDA & Co.,Platform for unique products produced on-demand at mass-scale,Consumer,Consumer -> Apparel and Cosmetics,Marketplace|Manufacturing
Vidcode,Coding for teens,Education,Education,Education
Viddy,A new way to create landing pages that is video-native.,B2B,B2B,SaaS|B2B|Video|E-commerce
VideoGen,"Create professional videos in minutes with AI, online or via API",B2B,B2B,eLearning|Video|API|Marketing|AI Assistant
Vidyard,Video for business.,B2B,B2B -> Marketing,
Village Labs,Helping America's businesses become employee owned,B2B,B2B -> Human Resources,Fintech|Human Resources
Vimcal,"The world's fastest calendar, beautifully designed for remote teams.",B2B,B2B -> Productivity,SaaS|Productivity|Scheduling|Calendar
Vimmerse,Bring your photos to life with Vimmerse,B2B,"B2B -> Engineering, Product and Design",Developer Tools|B2B|Video|Advertising|AI
Vinci Games,Creating genre-defining multiplayer VR games.,Consumer,Consumer -> Gaming,Virtual Reality|Consumer|Gaming|Metaverse
Vinco,Retaining employees in LatAm via education,B2B,B2B -> Human Resources,Education|Marketplace|SaaS
VINEBOX (Usual Beverage Co.),"Wine by the glass, delivered",Consumer,Consumer -> Food and Beverage,
Virtually,"The ""Shopify"" for Online Schools",B2B,B2B,Education|SaaS|eLearning
Visibl Semiconductors,"A faster, lower cost path to custom silicon",B2B,"B2B -> Engineering, Product and Design",Hard Tech|Enterprise|Enterprise Software|Semiconductors|AI
Vision Lab,Industrial data layer for robotics training,Industrials,Industrials -> Manufacturing and Robotics,Robotics|Manufacturing|Data Engineering|AI
Visly,Build React components visually,B2B,B2B -> Infrastructure,Developer Tools|Design Tools
Vista Power,Batteries and solar for $0 upfront to help businesses save money,Industrials,Industrials -> Energy,Energy Storage|B2B|Sustainability|Manufacturing|Renewable Energy
Visual One,AI for security cameras,Consumer,Consumer -> Consumer Electronics,Security|AI
Vitalize,Transforming how health systems optimize labor,Healthcare,Healthcare,SaaS|B2B|Healthcare
Vitau,Subscription pharmacy for patients with chronic diseases in LatAm.,Healthcare,Healthcare -> Healthcare IT,Consumer Health Services|Health Tech
Viya,Mobile first apartment rentals for LatAm,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Real Estate|Latin America
VizeraLabs,Augmented reality through projectors,B2B,B2B -> Retail,Augmented Reality|Computer Vision
Vizly,Data to insights in seconds,B2B,B2B -> Analytics,Artificial Intelligence|Privacy|Data Science|Data Visualization|AI
Vizy,An all-in-one virtual office for remote teams,Consumer,Consumer -> Transportation Services,SaaS
Vizzly,Customer-Facing Analytics for Modern SaaS.,B2B,B2B -> Analytics,Developer Tools|SaaS|B2B|Analytics|API
vly.ai,The Lovable & Replit killers,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|No-code|AI
Vobi,All-in-one project management software for construction SMBs in Latam,Real Estate and Construction,Real Estate and Construction -> Construction,Marketplace|SaaS|Construction|B2B
Vocality Health,Voice AI for medical language translation,Healthcare,Healthcare -> Healthcare Services,Artificial Intelligence|Healthcare|Health & Wellness
Vocode,Open source Voice AI,B2B,B2B,Developer Tools|Generative AI|Open Source|Conversational AI
Vogent,Build Voice AI Agents,B2B,B2B,Artificial Intelligence|SaaS|B2B|Sales|Operations
Voiceops,We help B2C companies learn from every customer interaction,B2B,B2B -> Sales,Artificial Intelligence|Analytics
VoiceOS,Say it and it's done. Voice is the new OS,Consumer,Consumer,
Voicepanel,Build with conviction,B2B,B2B -> Analytics,
Void,The open source Cursor alternative,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools
VOIQ,Conversational AI VoiceBots for Business,B2B,B2B -> Sales,SaaS
voize,"We build the AI companion for nurses, to create time for care.",B2B,B2B -> Productivity,Machine Learning|Speech Recognition|Healthcare|NLP
Voker,The Agent Analytics Platform,B2B,"B2B -> Engineering, Product and Design",Developer Tools|Generative AI|Analytics|Big Data|AI
Volansi,Autonomous VTOL delivery solutions.,Industrials,Industrials -> Drones,Autonomous Delivery|Drones
Volopay,Brex for South East Asia - Corporate cards & automated payments.,Fintech,Fintech -> Payments,Fintech|SaaS|B2B
"Volta Labs, Inc.",Unlocking the utility of genomics for the world.,Healthcare,Healthcare -> Industrial Bio,Hard Tech|Hardware|Robotics|Genomics|Biotechnology
Voltair,Autonomous Drones for Earth Observation,Industrials,Industrials -> Drones,
Voltic,Electric cargo ships,Industrials,Industrials -> Climate,
Voodoo Manufacturing,AWS for manufacturing.,Industrials,Industrials -> Manufacturing and Robotics,Medical Devices|3D Printing|Manufacturing
Vooma,Automation platform for logistics,B2B,B2B -> Supply Chain and Logistics,
Voosh,Making Restaurants more data-driven!,B2B,B2B,Food Tech
Voquill,The agentic OS for medical labs,Healthcare,Healthcare,
